,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
62,Lycaenidae,Polyommatinae,Tarucus,nara,"Kollar, 1848",Striped Pierrot,Grasslands and open habitats,Uncommon,UN,no,no,yes,yes,"Records in marshy areas near wetlands, grasslands, scrubs"
63,Lycaenidae,Polyommatinae,Talicada,nyseus,"Guerin, 1843",Red Pierrot,Forests,Rare,RN,yes,no,no,no,One record from Saisurni
64,Lycaenidae,Polyommatinae,Zizeeria,karsandra,"Moore, 1865",Dark Grass Blue,"Forests, forest edges",Common,RN,no,yes,no,yes,"Seen in forest edges, scrubs, grasslands. Across seasons"
65,Lycaenidae,Polyommatinae,Zizina,otis,"Fabricius, 1787",Lesser Grass Blue,"Forest edges, open habitats",Common,CW,yes,yes,yes,yes,"Seen in sparse forests, scrubs, cultivated lands"
66,Lycaenidae,Polyommatinae,Zizula,hylax,"Fabricius, 1775",Tiny Grass Blue,Forests,Common,CN,yes,yes,no,yes,"Seen in thinly wooded patches and scrubs, seen across seasons"
67,Lycaenidae,Theclinae,Amblypodia,anita,"Hewitson, 1862",Leaf Blue,"Forests, Forest Edges",Common,CN,yes,yes,no,yes,Uncommon but found across a variety of habitats in all seasons
68,Lycaenidae,Theclinae,Ancema,blanka,"de Niceville, 1894",Silver Royal,Forests,Rare,RN,yes,no,no,no,Records from Urladani and Jakam between August to December
69,Lycaenidae,Theclinae,Arhopala,amantes,"Hewitson, 1862",Large Oakblue,Forests,Common,CN,yes,no,no,no,"Seen in forested parts, in late winter and summer"
70,Lycaenidae,Theclinae,Arhopala,atrax,"Hewitson, 1862",Indian Oakblue,Forests,Rare,RN,yes,no,no,no,"Seen once in Jakam (18-5-2023), rarer than Large Oakblue"
71,Lycaenidae,Theclinae,Cigaritis,ictis,"Hewitson, 1865",Shot Silverline,Forests,Rare,RN,yes,no,no,no,One record from Urladani (18-8-2024)
72,Lycaenidae,Theclinae,Cigaritis,lohita,"Horsfield, 1829",Long Banded Silverline,Forests,Rare,RN,yes,no,no,no,Records from Jakam and Khandualmali foothills (November-February)
73,Lycaenidae,Theclinae,Cigaritis,vulcanus,"Fabricius, 1775",Common Silverline,"Forests, forest edges, clearings in forests",Common,CW,yes,yes,yes,yes,Recorded across multiple habitats in all seasons.
74,Lycaenidae,Theclinae,Hypolycaena,othona,"Hewitson, 1865",Orchid Tit,Forests,Rare,RN,yes,no,no,no,Two records from Jakam in July and September
75,Lycaenidae,Theclinae,Iraota,timoleon,"Stoll, 1790",Silverstreak Blue,Forests,Rare,RN,yes,no,no,no,One record from Jakam in late February (22-2-2024)
76,Lycaenidae,Theclinae,Loxura,atymnus,"Stoll, 1780",Yamfly,"Forests, often close to streams",Common,CN,yes,no,no,no,"Seen in dense forested areas, close to streams, across seasons"
77,Lycaenidae,Theclinae,Rachana,jalindra,"Horsfield, 1829",Banded Royal,Forests,Rare,RN,yes,no,no,no,One record in Jakam Nala (7-6-2023)
78,Lycaenidae,Theclinae,Rapala,iarbus,"Fabricius, 1787",Red Flash,"Forest edges, grasslands, open habitats",Rare,RN,no,yes,no,no,Records from forest edges and degraded patches (October-November)
79,Lycaenidae,Theclinae,Rapala,manea,"Hewitson, 1863",Slate Flash,Forests,Rare,RN,yes,no,no,no,One record from Jakam (5-12-2024)
80,Lycaenidae,Theclinae,Rapala,pheretima,"Hewitson, 1863",Copper Flash,Forests,Rare,RN,yes,no,no,no,"Records from Karlapat, Sagada and Ampani (November-January)"
81,Lycaenidae,Theclinae,Rapala,varuna,"Horsfield, 1829",Indigo Flash,Forests,Rare,RN,yes,no,no,no,One record from Jakam (18-2-2024)
82,Lycaenidae,Theclinae,Rathinda,amor,"Fabricius, 1775",Monkey Puzzle,Forests,Rare,RN,yes,no,no,no,Records from Karlapat and Urladani between August to January
83,Lycaenidae,Theclinae,Tajuria,cippus,"Fabricius, 1798",Peacock Royal,Forests,Rare,RN,yes,no,no,no,One record from Gudialipadar (29-12-2023)
84,Lycaenidae,Theclinae,Virachola,isocrates,"Fabricius, 1793",Guava Blue,Forest edges,Rare,RN,no,no,no,yes,One record from Pengsur reservoir area (2-6-2023) and Lanjigarh
85,Lycaenidae,Theclinae,Zeltus,amasa,"Hewitson, 1865",Fluffy Tit,Forests,Rare,RN,yes,no,no,no,Records from Kerbandi RF and Karlapat
