id,observed_on,latitude,longitude,taxon_family_name,taxon_subfamily_name,taxon_genus_name,taxon_species_name
250770831,2024-11-03,19.647372,83.152037,Nymphalidae,Nymphalinae,Hypolimnas,Hypolimnas bolina
250771887,2024-11-03,19.647372,83.152037,Hesperiidae,Hesperiinae,Parnara,Parnara bada
250778974,2024-11-07,19.4764356997,82.8017669997,Hesperiidae,Hesperiinae,Pelopidas,Pelopidas mathias
250781505,2024-11-06,19.6194290943,82.5502749499,Lycaenidae,Theclinae,Amblypodia,Amblypodia anita
250781656,2024-11-06,19.6193622526,82.5502877609,Lycaenidae,Aphnaeinae,Cigaritis,Cigaritis vulcanus
250781941,2024-10-30,19.6838892436,83.1372917806,Lycaenidae,Theclinae,Rathinda,Rathinda amor
250784659,2024-10-08,19.802867582,83.1149454927,Nymphalidae,Satyrinae,Orsotriaena,Orsotriaena medus
250786295,2024-11-07,19.7815555556,83.1128416667,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
250790830,2024-11-05,19.5541049694,82.6091271696,Pieridae,Coliadinae,Eurema,Eurema blanda
250792645,2024-11-05,19.55325192,82.6142361293,Nymphalidae,Limenitidinae,Euthalia,Euthalia lubentina
250800284,2024-10-30,19.7464179356,83.1070180564,Nymphalidae,Charaxinae,Eriboea,Eriboea solon
250800443,2024-10-30,19.7175376055,83.0753637558,Nymphalidae,Charaxinae,Polyura,Polyura bharata
250801271,2024-11-07,19.471941,82.810462,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
250856266,2024-11-01,19.8017472887,83.1418679768,Pieridae,Pierinae,Delias,Delias eucharis
250856499,2024-10-30,19.6869269384,83.1341730803,Nymphalidae,Limenitidinae,Tanaecia,Tanaecia lepidea
250872058,2024-11-08,19.3897197,82.8662348,Nymphalidae,Biblidinae,Ariadne,Ariadne ariadne
250872939,2024-11-08,19.3896912,82.8662183997,Nymphalidae,Biblidinae,Ariadne,Ariadne ariadne
250873622,2024-11-08,19.3896699722,82.866211,Nymphalidae,Biblidinae,Ariadne,Ariadne ariadne
250875500,2024-11-08,19.3897097,82.866218,Nymphalidae,Biblidinae,Ariadne,Ariadne ariadne
250875570,2024-11-08,19.3897215,82.8662192,Nymphalidae,Biblidinae,Ariadne,Ariadne merione
250875827,2024-11-08,19.3892428997,82.8655133,Lycaenidae,Polyommatinae,Luthrodes,Luthrodes pandava
250876200,2024-11-08,19.389424,82.864699,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
250876835,2024-11-08,19.3893772997,82.8644606997,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
250876945,2024-11-08,19.3327251997,82.846939,Pieridae,Pierinae,Pareronia,Pareronia hippia
250879131,2024-11-08,19.3883520997,82.8651473997,Nymphalidae,Satyrinae,Ypthima,Ypthima huebneri
250879877,2024-11-08,19.3635081997,82.8664390997,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
250902494,2024-11-08,19.3977151398,82.8725675958,Pieridae,Pierinae,Delias,Delias hyparete
250902944,2024-11-08,19.3984123056,82.8718524428,Lycaenidae,Polyommatinae,Catochrysops,Catochrysops strabo
250912998,2024-11-08,19.4721119722,82.8107959722,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
250997139,2024-11-08,19.7796583333,83.0773361111,Lycaenidae,Polyommatinae,Catochrysops,Catochrysops strabo
251002080,2024-11-09,19.8584315997,83.2532178,Lycaenidae,Polyommatinae,Anthene,Anthene emolus
251002448,2024-11-09,19.8583819722,83.2533389722,Lycaenidae,Polyommatinae,Anthene,Anthene emolus
251002503,2024-11-09,19.8585788,83.2533956,Nymphalidae,Satyrinae,Lethe,Lethe europa
251002514,2024-11-09,19.8585947997,83.2534598,Nymphalidae,Satyrinae,Ypthima,Ypthima huebneri
251007197,2024-11-09,19.8757321,83.1592042997,Nymphalidae,Danainae,Danaus,Danaus chrysippus
251047806,2024-11-09,19.8083875351,83.1243961145,Pieridae,Pierinae,Delias,Delias hyparete
251047823,2024-11-09,19.8080903818,83.1246594274,Papilionidae,Papilioninae,Pachliopta,Pachliopta aristolochiae
251168295,2024-11-05,19.5687733015,82.5718184327,Lycaenidae,Theclinae,Zesius,Zesius chrysomallus
251279458,2024-11-10,19.7799116386,83.1126397674,Lycaenidae,Polyommatinae,Acytolepis,Acytolepis puspa
251279547,2024-11-10,19.7801407734,83.1123336158,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
251279651,2024-11-10,19.7798847244,83.1122460991,Nymphalidae,Satyrinae,Lethe,Lethe europa
